id,Iso2,acceso_agua_potable(%),acceso_servicios_sanitarios(%),camas_hospitales_c/1000personas,cambio_de_la_población,cambio_natural_población,capacidad_estadística,año,densidad_población_por_kilómetro_cuadrado),duración_educ_obligatoria,emisiones_co2,esperanza_vida_mujeres,esperanza_vida_total,esperanza_vida_varones,estabilidad_política,estado_civil_casado_porcentaje,gasto_púb_educacion_pje,pais_id,inversion_salud_percapita,mediana_edad_población,migración_neta_total,mortalidad_infantil_c/1000nacimientos,pib_pc_prec_inter,pib_pc_usd_actuales,pib_ppa_prec_inter,población_femenina_edad_reproductiva_(15-49 años),población_hombres_pje,población_mujeres_pje,población_total_por_sexo_ambos,población_total_por_sexo_fem,población_total_por_sexo_masc,porcentaje_de_bosque,prevalencia_anticonceptivos_porcentaje,proporción_sexos_población_total,tasa_bruta_cambio_natural_población,tasa_bruta_migración_neta,tasa_bruta_mortalidad_por_1000_habitantes,tasa_bruta_variación_total_población,tasa_desempleo,tasa_fertilidad,tasa_mortalidad_infantil_ambos,tasa_mortalidad_infantil_fem,tasa_mortalidad_infantil_masc,tasa_mortalidad_menores_cinco_años_ambos,tasa_mortalidad_menores_cinco_años_fem,tasa_mortalidad_menores_cinco_años_masc,tasa_mortalidad_suicidio_c/100.000,tasa_poblacion_urbana,total_muertes_por_sexo_ambos,total_muertes_por_sexo_fem,total_muertes_por_sexo_masc,índice_gini
0,AF,75.09141325,50.49964687,,1292407.0,1125582.0,57.7778,2020,60.0222864456273,9.0,,66.744,65.173,63.708,-2.70502972602844,69.8294031395157,,2.0,,16.5514973324856,166821.0,45.0,2078.47908182601,516.747870807558,80911742458.6898,9205855.0,51.3154798967672,48.6845201032328,38972231.0,19279930.0,19692301.0,1.85278199408184,18.2,102.138858906645,28.938,4.289,7.113,3.317,11.710000038147,4.750169,45.76647,42.0573,49.31858,59.4397567978761,56.019427654742,62.7170691028579,,26.026,276683.0,121492.0,155192.0,
1,AF,72.43421885,49.00616952,,1113057.0,1121140.0,50.0,2019,58.1699232707425,9.0,0.159824372036919,66.388,64.833,63.382,-2.65553116798401,69.6349142148642,3.21377992630005,2.0,65.80603027,16.3254167595196,-8082.0,46.4,2152.19024282945,494.179349886029,81873098235.4889,8839963.0,51.3376051479431,48.6623948520569,37769499.0,18679090.0,19090409.0,1.85278199408184,17.4,102.202031849572,29.675,-0.214,6.791,2.947,11.2170000076294,4.870089,46.71307,42.92233,50.34222,60.5028372032976,56.9794998615351,63.8776803078419,4.1,25.754,256564.0,110543.0,146021.0,
2,AF,69.60193058,47.39066209,,1052372.0,1099581.0,50.0,2018,56.502402602203,9.0,0.163295300459884,66.026,64.486,63.047,-2.76386427879334,69.4508323521557,3.19979000091553,2.0,69.99860382,16.13892196797,-47205.0,47.9,2082.3921973316,485.668418729808,77406520332.6189,8522104.0,51.3641532982879,48.6358467017121,36686784.0,18136922.0,18549863.0,1.85278199408184,16.8,102.276797636247,29.946,-1.286,6.981,2.869,11.1520004272461,5.002346,47.83544,44.0082,51.49845,61.8685125933084,58.317638445223,65.268874338139,4.1,25.495,256314.0,108881.0,147434.0,
3,AF,66.80870335,45.78912703,0.39,1034361.0,1081439.0,51.1111,2017,54.8954829538454,9.0,0.131694555645599,65.656,64.13,62.701,-2.80108380317688,69.2513410190045,3.37331008911133,2.0,65.70602417,15.9635167562844,-47090.0,49.5,2058.4002210698,516.679862210543,74711922906.3738,8217609.0,51.388384281721,48.611615718279,35643418.0,17614722.0,18028696.0,1.85278199408184,16.2,102.350156306753,30.315,-1.32,7.027,2.902,11.1800003051758,5.129035,49.37693,45.48193,53.10363,64.2807273772807,60.677972851207,67.7298520480381,4.1,25.25,250677.0,108388.0,142289.0,
4,AF,64.0548831,44.20121748,0.5,980059.0,1070294.0,51.1111,2016,53.344249001996,9.0,0.149789333765749,65.275,63.763,62.343,-2.67105388641357,69.0406817985201,3.5119800567627,2.0,60.18867111,15.7953361762475,-90238.0,51.3,1981.11806850696,512.012778129357,70097956089.2877,7928862.0,51.4003323853459,48.5996676146541,34636208.0,17115347.0,17520861.0,1.85278199408184,15.7,102.369303478606,30.859,-2.602,7.077,2.83,11.1579999923706,5.261761,52.45424,48.39276,56.34064,70.6449536773728,66.9352072730449,74.1975127579341,4.0,25.02,245452.0,113122.0,132330.0,
5,AF,61.33978081,42.62602284,0.5,785358.0,1067073.0,51.1111,2015,51.984763497696,9.0,0.172896741130684,64.877,63.377,61.965,-2.57122182846069,68.8645424171213,3.2558000087738,2.0,58.90652847,15.6834495341375,-281739.0,53.2,2087.30532306683,556.007220861443,71831696727.8086,7696343.0,51.392950630598,48.607049369402,33753499.0,16682054.0,17071446.0,1.85278199408184,14.9,102.334197045945,31.472,-8.31,7.331,2.327,11.1269998550415,5.405153,54.49117,50.33494,58.46862,73.9375304263856,70.1470335569929,77.567905960458,4.0,24.803,248560.0,114751.0,133809.0,
6,AF,58.65937353,41.06096635,0.5,1289220.0,1033610.0,54.4444444444444,2014,50.3872039870876,9.0,0.146235617051388,64.453,62.966,61.563,-2.41106843948364,68.4986803586832,3.69521999359131,2.0,59.00893402,15.5009434117762,255611.0,55.2,2069.42402167356,614.223342360392,69058343420.1602,7401143.0,51.3586756854884,48.6413243145116,32716210.0,16172321.0,16543889.0,1.85278199408184,14.1,102.297555187038,31.71,7.842,7.395,3.941,11.1420001983643,5.559507,56.25618,52.16974,60.1691,76.2991449544567,72.7265480510769,79.725124988666,3.9,24.587,241055.0,112527.0,128527.0,
7,AF,56.01404291,39.50601764,0.53,1060783.0,1012711.0,53.3333333333333,2013,48.5775493765555,9.0,0.185623659918544,63.999,62.525,61.133,-2.51934909820557,68.2785075058223,3.45445990562439,2.0,55.03462982,15.2393112304924,48076.0,57.3,2015.51477466948,624.315454506615,65039839448.5561,7046483.0,51.2999296675334,48.7000703324666,31541209.0,15594637.0,15946572.0,1.85278199408184,13.4,102.256772705154,32.123,1.525,7.478,3.363,11.1929998397827,5.696216,57.80914,53.6595,61.78262,78.2382074060095,74.620389363536,81.708121553685,4.0,24.373,235744.0,110691.0,125053.0,
8,AF,53.4035172,37.96080939,0.53,1088677.0,982767.0,50.0,2012,46.9223258729455,9.0,0.25929533423413,63.514,62.054,60.675,-2.41856145858765,68.1069014474691,3.3199999332428,2.0,51.44026184,15.0108949996898,105905.0,59.5,1914.77422837964,638.845851607289,59667003515.1962,6731095.0,51.2328883530119,48.7671116469881,30466479.0,15067373.0,15399106.0,1.85278199408184,13.0,102.201661165487,32.298,3.481,7.711,3.574,11.3409996032715,5.830232,59.96988,55.76019,64.00151,81.6173529720341,77.9978904396269,85.090741379488,4.0,24.16,234629.0,110321.0,124308.0,
9,AF,50.8278463,36.4251488,0.44,1345966.0,927172.0,51.1111111111111,2011,45.0474929770089,9.0,0.296506240366271,63.0,61.553,60.19,-2.50205969810486,67.9084055072275,3.4620099067688,2.0,50.85347366,14.6790037053473,418796.0,61.8,1699.48811019742,591.190030208565,51184181904.4289,6349138.0,51.184216996607,48.815783003393,29249157.0,14468875.0,14780282.0,1.85278199408184,13.0,102.152254408169,31.924,14.42,7.931,4.603,11.0539999008179,5.958108,62.27604,57.98048,66.38744,85.2189099374763,81.565288625915,88.7239064360991,4.1,23.948,230346.0,108564.0,121782.0,
