id,pais_id,año,INB_percapita,nivel_id
0,2.0,2020,500.0,0.0
1,2.0,2019,520.0,0.0
2,2.0,2018,510.0,0.0
3,2.0,2017,530.0,0.0
4,2.0,2016,550.0,0.0
5,2.0,2015,590.0,0.0
6,2.0,2014,630.0,0.0
7,2.0,2013,650.0,0.0
8,2.0,2012,630.0,0.0
9,2.0,2011,530.0,0.0
10,2.0,2010,510.0,0.0
11,2.0,2009,450.0,0.0
12,2.0,2008,,
13,2.0,2007,,
14,2.0,2006,,
15,2.0,2005,,
16,2.0,2004,,
17,2.0,2003,,
18,2.0,2002,,
19,2.0,2001,,
20,2.0,2000,,
21,2.0,1999,,
22,2.0,1998,,
23,2.0,1997,,
24,2.0,1996,,
25,2.0,1995,,
26,2.0,1994,,
27,2.0,1993,,
28,2.0,1992,,
29,2.0,1991,,
30,2.0,1990,,
31,5.0,2020,5260.0,2.0
32,5.0,2019,5230.0,2.0
33,5.0,2018,4860.0,2.0
34,5.0,2017,4290.0,2.0
35,5.0,2016,4320.0,2.0
36,5.0,2015,4390.0,2.0
37,5.0,2014,4540.0,2.0
38,5.0,2013,4540.0,2.0
39,5.0,2012,4360.0,2.0
40,5.0,2011,4410.0,2.0
41,5.0,2010,4360.0,2.0
42,5.0,2009,4280.0,2.0
43,5.0,2008,4040.0,2.0
44,5.0,2007,3460.0,1.0
45,5.0,2006,3050.0,1.0
46,5.0,2005,2620.0,1.0
47,5.0,2004,2100.0,1.0
48,5.0,2003,1650.0,1.0
49,5.0,2002,1370.0,1.0
50,5.0,2001,1280.0,1.0
51,5.0,2000,1100.0,1.0
52,5.0,1999,950.0,0.0
53,5.0,1998,860.0,0.0
54,5.0,1997,800.0,0.0
55,5.0,1996,890.0,0.0
56,5.0,1995,640.0,0.0
57,5.0,1994,380.0,0.0
58,5.0,1993,320.0,0.0
59,5.0,1992,280.0,0.0
60,5.0,1991,410.0,0.0
61,5.0,1990,650.0,0.0
62,60.0,2020,3570.0,1.0
63,60.0,2019,4010.0,2.0
64,60.0,2018,3980.0,1.0
65,60.0,2017,3950.0,1.0
66,60.0,2016,4370.0,2.0
67,60.0,2015,4850.0,2.0
68,60.0,2014,5490.0,2.0
